from_stop_id,to_stop_id,transfer_type,min_transfer_time
5860,5845,2,360
10884,8061,0,
10884,8056,0,
10884,5844,0,
6107,6120,0,
6107,6107,0,
6107,11905,0,
5960,5408,0,
5960,5295,0,
5811,5820,0,
5811,8967,0,
5813,5909,0,
5813,11490,2,300
5813,5818,0,
5814,5814,0,
11710,11712,0,
11710,11719,0,
11710,11711,2,360
11710,11716,0,
11710,8064,0,
11710,11715,0,
11710,8053,0,
11710,11718,0,
2639,2261,0,
2639,2328,0,
2189,3536,0,
2189,3624,0,
2630,2692,2,120
2630,3023,0,
2630,10429,0,
2630,8066,0,
2630,8051,0,
2630,2477,2,120
2630,2799,2,120
6113,5410,0,
6113,6478,0,
6113,5285,0,
5828,6114,0,
5828,5954,0,
5955,5830,0,
5955,5801,0,
8054,8054,0,
8055,5890,0,
8055,5148,0,
8055,7639,0,
8056,5862,0,
8056,10884,2,300
8056,5844,2,300
8057,5262,0,
8057,5768,0,
8057,11764,2,360
8057,5494,0,
8057,6467,0,
8057,5045,0,
8057,5122,0,
8057,10881,0,
8057,5667,0,
8057,5769,0,
8057,5793,0,
8057,5891,2,300
8057,11882,2,300
8057,10880,0,
8058,12155,0,
8058,6468,2,360
8058,5042,0,
8040,9128,2,360
8040,4496,2,360
8040,8535,2,300
8040,409,2,300
8041,11535,0,
8042,11495,2,300
8043,1286,2,300
8043,235,0,
8043,181,0,
8044,12073,2,360
8044,11588,2,300
8044,972,2,300
8044,1230,0,
8044,11606,2,300
8044,8763,0,
8044,8754,0,
8045,1541,0,
8045,1572,0,
8045,695,0,
8046,1832,0,
8046,11762,0,
8046,1615,0,
8046,8903,0,
8046,1065,0,
8047,1685,0,
8047,1651,2,960
8047,11455,0,
8047,1905,0,
8047,1736,0,
8048,11570,0,
8048,2539,0,
8049,2016,0,
8049,2671,0,
8049,1173,0,
8049,2523,0,
8049,2761,0,
8049,2833,0,
8049,10203,0,
8049,2717,0,
8049,2414,0,
8050,10202,0,
8051,2692,0,
8051,3023,0,
8051,10429,0,
8051,2630,0,
