service_id,date,exception_type
59101,20161031,1
59101,20161107,1
59101,20161111,1
59101,20161114,1
59101,20161121,1
59101,20161128,1
59101,20161205,1
59101,20161212,1
401,20160906,1
401,20160907,1
401,20160908,1
401,20160909,1
401,20160912,1
401,20160913,1
401,20160914,1
401,20160915,1
401,20160916,1
401,20160919,1
401,20160920,1
401,20160921,1
401,20160922,1
401,20160923,1
401,20160926,1
401,20160927,1
401,20160928,1
401,20160929,1
401,20160930,1
401,20161003,1
401,20161004,1
401,20161005,1
401,20161006,1
401,20161007,1
401,20161011,1
401,20161012,1
401,20161013,1
401,20161014,1
401,20161017,1
401,20161018,1
401,20161019,1
401,20161020,1
401,20161021,1
401,20161024,1
401,20161025,1
401,20161026,1
401,20161027,1
401,20161028,1
401,20161031,1
401,20161101,1
401,20161102,1
401,20161103,1
401,20161104,1
401,20161107,1
401,20161108,1
401,20161109,1
401,20161110,1
401,20161114,1
401,20161115,1
401,20161116,1
401,20161117,1
401,20161118,1
401,20161121,1
401,20161122,1
401,20161123,1
401,20161124,1
401,20161125,1
401,20161128,1
401,20161129,1
401,20161130,1
401,20161201,1
401,20161202,1
401,20161205,1
401,20161206,1
401,20161207,1
401,20161208,1
401,20161209,1
401,20161212,1
401,20161213,1
401,20161214,1
401,20161215,1
401,20161216,1
185901,20160906,1
185901,20160907,1
185901,20160908,1
185901,20160909,1
185901,20160912,1
185901,20160913,1
185901,20160914,1
185901,20160915,1
185901,20160916,1
185901,20160919,1
185901,20160920,1
185901,20160921,1
185901,20160922,1
185901,20160923,1
185901,20160926,1
185901,20160927,1
185901,20160928,1
185901,20160929,1
185901,20160930,1
185901,20161003,1
185901,20161004,1
185901,20161005,1
185901,20161006,1
185901,20161007,1
185901,20161011,1
185901,20161012,1
185901,20161013,1
185901,20161014,1
185901,20161017,1
185901,20161018,1
185901,20161019,1
185901,20161020,1
185901,20161021,1
185901,20161024,1
185901,20161025,1
185901,20161026,1
185901,20161027,1
185901,20161028,1
185901,20161031,1
185901,20161101,1
185901,20161102,1
185901,20161103,1
185901,20161104,1
185901,20161107,1
185901,20161108,1
185901,20161109,1
185901,20161110,1
185901,20161114,1
185901,20161115,1
185901,20161116,1
185901,20161117,1
185901,20161118,1
185901,20161121,1
185901,20161122,1
185901,20161123,1
185901,20161124,1
185901,20161125,1
185901,20161128,1
185901,20161129,1
185901,20161130,1
185901,20161201,1
185901,20161202,1
185901,20161205,1
185901,20161206,1
185901,20161207,1
185901,20161208,1
185901,20161209,1
185901,20161212,1
185901,20161213,1
185901,20161214,1
185901,20161215,1
185901,20161216,1
193901,20160906,1
193901,20160907,1
193901,20160908,1
193901,20160909,1
193901,20160912,1
193901,20160913,1
193901,20160914,1
193901,20160915,1
193901,20160916,1
193901,20160919,1
193901,20160920,1
193901,20160921,1
193901,20160922,1
193901,20160923,1
193901,20160926,1
193901,20160927,1
193901,20160928,1
193901,20160929,1
193901,20160930,1
193901,20161003,1
193901,20161004,1
193901,20161005,1
193901,20161006,1
193901,20161007,1
193901,20161011,1
193901,20161012,1
193901,20161013,1
193901,20161014,1
193901,20161017,1
193901,20161018,1
193901,20161019,1
193901,20161020,1
193901,20161021,1
193901,20161024,1
193901,20161025,1
193901,20161026,1
193901,20161027,1
193901,20161028,1
193901,20161031,1
193901,20161101,1
193901,20161102,1
193901,20161103,1
193901,20161104,1
193901,20161107,1
193901,20161108,1
193901,20161109,1
193901,20161110,1
193901,20161114,1
193901,20161115,1
193901,20161116,1
193901,20161117,1
193901,20161118,1
193901,20161121,1
193901,20161122,1
193901,20161123,1
193901,20161124,1
193901,20161125,1
193901,20161128,1
193901,20161129,1
193901,20161130,1
193901,20161201,1
193901,20161202,1
193901,20161205,1
193901,20161206,1
193901,20161207,1
193901,20161208,1
193901,20161209,1
193901,20161212,1
193901,20161213,1
193901,20161214,1
193901,20161215,1
193901,20161216,1
194001,20160905,1
194001,20161010,1
194001,20161111,1
1201,20160909,1
1201,20160916,1
1201,20160923,1
1201,20160930,1
1201,20161007,1
1201,20161014,1
1201,20161021,1
1201,20161028,1
1201,20161104,1
1201,20161118,1
1201,20161125,1
1201,20161202,1
1201,20161209,1
1201,20161216,1
1101,20160905,1
1101,20160906,1
1101,20160907,1
1101,20160908,1
1101,20160912,1
1101,20160913,1
1101,20160914,1
1101,20160915,1
1101,20160919,1
1101,20160920,1
1101,20160921,1
1101,20160922,1
1101,20160926,1
1101,20160927,1
1101,20160928,1
1101,20160929,1
1101,20161003,1
1101,20161004,1
1101,20161005,1
1101,20161006,1
1101,20161010,1
1101,20161011,1
1101,20161012,1
1101,20161013,1
1101,20161017,1
1101,20161018,1
1101,20161019,1
1101,20161020,1
1101,20161024,1
1101,20161025,1
1101,20161026,1
1101,20161027,1
1101,20161031,1
1101,20161101,1
1101,20161102,1
1101,20161103,1
1101,20161107,1
1101,20161108,1
1101,20161109,1
1101,20161110,1
1101,20161111,1
1101,20161114,1
1101,20161115,1
1101,20161116,1
1101,20161117,1
1101,20161121,1
1101,20161122,1
1101,20161123,1
1101,20161124,1
1101,20161128,1
1101,20161129,1
1101,20161130,1
1101,20161201,1
1101,20161205,1
1101,20161206,1
1101,20161207,1
1101,20161208,1
1101,20161212,1
1101,20161213,1
1101,20161214,1
1101,20161215,1
2001,20160907,1
2001,20160914,1
2001,20160921,1
2001,20160928,1
2001,20161005,1
2001,20161012,1
2001,20161019,1
2001,20161026,1
2001,20161102,1
2001,20161109,1
2001,20161116,1
2001,20161123,1
2001,20161130,1
2001,20161207,1
2001,20161214,1
62101,20160906,1
62101,20160908,1
62101,20160909,1
62101,20160912,1
62101,20160913,1
62101,20160915,1
62101,20160916,1
62101,20160919,1
62101,20160920,1
62101,20160922,1
62101,20160923,1
62101,20160926,1
62101,20160927,1
62101,20160929,1
62101,20160930,1
62101,20161003,1
62101,20161004,1
62101,20161006,1
62101,20161007,1
62101,20161011,1
62101,20161013,1
62101,20161014,1
62101,20161017,1
62101,20161018,1
62101,20161020,1
62101,20161021,1
62101,20161024,1
62101,20161025,1
62101,20161027,1
62101,20161028,1
62101,20161031,1
62101,20161101,1
62101,20161103,1
62101,20161104,1
62101,20161107,1
62101,20161108,1
62101,20161110,1
62101,20161114,1
62101,20161115,1
62101,20161117,1
62101,20161118,1
62101,20161121,1
62101,20161122,1
62101,20161124,1
62101,20161125,1
62101,20161128,1
62101,20161129,1
62101,20161201,1
62101,20161202,1
62101,20161205,1
62101,20161206,1
62101,20161208,1
62101,20161209,1
62101,20161212,1
62101,20161213,1
62101,20161215,1
62101,20161216,1
62201,20160905,1
62201,20160907,1
62201,20160914,1
62201,20160921,1
62201,20160928,1
62201,20161005,1
62201,20161010,1
62201,20161012,1
62201,20161019,1
62201,20161026,1
62201,20161102,1
62201,20161109,1
62201,20161111,1
62201,20161116,1
62201,20161123,1
62201,20161130,1
62201,20161207,1
62201,20161214,1
1901,20160905,1
1901,20160906,1
1901,20160908,1
1901,20160909,1
1901,20160912,1
1901,20160913,1
1901,20160915,1
1901,20160916,1
1901,20160919,1
1901,20160920,1
1901,20160922,1
1901,20160923,1
1901,20160926,1
1901,20160927,1
1901,20160929,1
1901,20160930,1
1901,20161003,1
1901,20161004,1
1901,20161006,1
1901,20161007,1
1901,20161010,1
1901,20161011,1
1901,20161013,1
1901,20161014,1
1901,20161017,1
1901,20161018,1
1901,20161020,1
1901,20161021,1
1901,20161024,1
1901,20161025,1
1901,20161027,1
1901,20161028,1
1901,20161031,1
1901,20161101,1
1901,20161103,1
1901,20161104,1
1901,20161107,1
1901,20161108,1
1901,20161110,1
1901,20161111,1
1901,20161114,1
1901,20161115,1
1901,20161117,1
1901,20161118,1
1901,20161121,1
1901,20161122,1
1901,20161124,1
1901,20161125,1
1901,20161128,1
1901,20161129,1
1901,20161201,1
1901,20161202,1
1901,20161205,1
1901,20161206,1
1901,20161208,1
1901,20161209,1
1901,20161212,1
1901,20161213,1
1901,20161215,1
1901,20161216,1
301,20160906,1
301,20160907,1
301,20160908,1
301,20160909,1
301,20160912,1
301,20160913,1
301,20160914,1
301,20160915,1
301,20160916,1
301,20160919,1
301,20160920,1
301,20160921,1
301,20160922,1
301,20160923,1
301,20160926,1
301,20160927,1
301,20160928,1
301,20160929,1
301,20160930,1
301,20161003,1
301,20161004,1
301,20161005,1
301,20161006,1
301,20161007,1
301,20161011,1
301,20161012,1
301,20161013,1
301,20161014,1
301,20161017,1
301,20161018,1
301,20161019,1
301,20161020,1
301,20161021,1
301,20161024,1
301,20161025,1
301,20161026,1
301,20161027,1
301,20161028,1
301,20161031,1
301,20161101,1
301,20161102,1
301,20161103,1
301,20161104,1
301,20161107,1
301,20161108,1
301,20161109,1
301,20161110,1
301,20161114,1
301,20161115,1
301,20161116,1
301,20161117,1
301,20161118,1
301,20161121,1
301,20161122,1
301,20161123,1
301,20161124,1
301,20161125,1
301,20161128,1
301,20161129,1
301,20161130,1
301,20161201,1
301,20161202,1
301,20161205,1
301,20161206,1
301,20161207,1
301,20161208,1
301,20161209,1
301,20161212,1
301,20161213,1
301,20161214,1
301,20161215,1
301,20161216,1
1501,20160905,1
1501,20161010,1
1501,20161111,1
139401,20160905,1
139401,20161010,1
139401,20161011,1
139401,20161012,1
139401,20161013,1
139401,20161014,1
139401,20161017,1
139401,20161018,1
139401,20161019,1
139401,20161020,1
139401,20161021,1
139401,20161024,1
139401,20161025,1
139401,20161026,1
139401,20161027,1
139401,20161028,1
139401,20161031,1
139401,20161101,1
139401,20161102,1
139401,20161103,1
139401,20161104,1
139401,20161107,1
139401,20161108,1
139401,20161109,1
139401,20161110,1
139401,20161111,1
139401,20161114,1
139401,20161115,1
139401,20161116,1
139401,20161117,1
139401,20161118,1
139401,20161121,1
139401,20161122,1
139401,20161123,1
139401,20161124,1
139401,20161125,1
139401,20161128,1
139401,20161129,1
139401,20161130,1
139401,20161201,1
139401,20161202,1
139401,20161205,1
139401,20161206,1
139401,20161207,1
139401,20161208,1
139401,20161209,1
139401,20161212,1
139401,20161213,1
139401,20161214,1
139401,20161215,1
139401,20161216,1
139301,20160906,1
139301,20160907,1
139301,20160908,1
139301,20160909,1
139301,20160912,1
139301,20160913,1
139301,20160914,1
139301,20160915,1
139301,20160916,1
139301,20160919,1
139301,20160920,1
139301,20160921,1
139301,20160922,1
139301,20160923,1
139301,20160926,1
139301,20160927,1
139301,20160928,1
139301,20160929,1
139301,20160930,1
139301,20161003,1
139301,20161004,1
139301,20161005,1
139301,20161006,1
139301,20161007,1
225101,20160905,1
225101,20160906,1
225101,20160907,1
225101,20160908,1
225101,20160909,1
225101,20160912,1
225101,20160913,1
225101,20160914,1
225101,20160915,1
225101,20160916,1
225101,20160919,1
225101,20160920,1
225101,20160921,1
225101,20160922,1
225101,20160923,1
225101,20160926,1
225101,20160927,1
225101,20160928,1
225101,20160929,1
225101,20160930,1
225101,20161003,1
225101,20161004,1
225101,20161005,1
225101,20161006,1
225101,20161007,1
225101,20161010,1
225101,20161011,1
225101,20161012,1
225101,20161013,1
225101,20161014,1
225101,20161017,1
225101,20161018,1
225101,20161019,1
225101,20161020,1
225101,20161021,1
92601,20160906,1
92601,20160907,1
92601,20160908,1
92601,20160909,1
92601,20160912,1
92601,20160913,1
92601,20160914,1
92601,20160915,1
92601,20160916,1
92601,20160919,1
92601,20160920,1
92601,20160921,1
92601,20160922,1
92601,20160923,1
92601,20160926,1
92601,20160927,1
92601,20160928,1
92601,20160929,1
92601,20160930,1
92601,20161003,1
92601,20161004,1
92601,20161005,1
92601,20161006,1
92601,20161007,1
92601,20161011,1
92601,20161012,1
92601,20161013,1
92601,20161014,1
92601,20161017,1
92601,20161018,1
92601,20161019,1
92601,20161020,1
92601,20161021,1
92601,20161024,1
92601,20161025,1
92601,20161026,1
92601,20161027,1
92601,20161028,1
92601,20161031,1
92601,20161101,1
92601,20161102,1
92601,20161103,1
92601,20161104,1
92601,20161107,1
92601,20161108,1
92601,20161109,1
92601,20161110,1
92601,20161114,1
92601,20161115,1
92601,20161116,1
92601,20161117,1
92601,20161118,1
92601,20161121,1
92601,20161122,1
92601,20161123,1
92601,20161124,1
92601,20161125,1
92601,20161128,1
92601,20161129,1
92601,20161130,1
92601,20161201,1
92601,20161202,1
92601,20161205,1
92601,20161206,1
92601,20161207,1
92601,20161208,1
92601,20161209,1
92601,20161212,1
92601,20161213,1
92601,20161214,1
92601,20161215,1
92601,20161216,1
155601,20160906,1
155601,20160907,1
155601,20160908,1
155601,20160909,1
155601,20160912,1
155601,20160913,1
155601,20160914,1
155601,20160915,1
155601,20160916,1
155601,20160919,1
155601,20160920,1
155601,20160921,1
155601,20160922,1
155601,20160923,1
155601,20160926,1
155601,20160927,1
155601,20160928,1
155601,20160929,1
155601,20160930,1
155601,20161003,1
155601,20161004,1
155601,20161005,1
155601,20161006,1
155601,20161007,1
155601,20161011,1
155601,20161012,1
155601,20161013,1
155601,20161014,1
155601,20161017,1
155601,20161018,1
155601,20161019,1
155601,20161020,1
155601,20161021,1
155601,20161024,1
155601,20161025,1
155601,20161026,1
155601,20161027,1
155601,20161028,1
155601,20161031,1
155601,20161101,1
155601,20161102,1
155601,20161103,1
155601,20161104,1
155601,20161107,1
155601,20161108,1
155601,20161109,1
155601,20161110,1
155601,20161114,1
155601,20161115,1
155601,20161116,1
155601,20161117,1
155601,20161118,1
155601,20161121,1
155601,20161122,1
155601,20161123,1
155601,20161124,1
155601,20161125,1
155601,20161128,1
155601,20161129,1
155601,20161130,1
155601,20161201,1
155601,20161202,1
155601,20161205,1
155601,20161206,1
155601,20161207,1
155601,20161208,1
155601,20161209,1
155601,20161212,1
155601,20161213,1
155601,20161214,1
155601,20161215,1
155601,20161216,1
117701,20161024,1
117701,20161025,1
117701,20161026,1
117701,20161027,1
117701,20161028,1
117701,20161031,1
117701,20161101,1
117701,20161102,1
117701,20161103,1
117701,20161104,1
117701,20161107,1
117701,20161108,1
117701,20161109,1
117701,20161110,1
117701,20161111,1
117701,20161114,1
117701,20161115,1
117701,20161116,1
117701,20161117,1
117701,20161118,1
117701,20161121,1
117701,20161122,1
117701,20161123,1
117701,20161124,1
117701,20161125,1
117701,20161128,1
117701,20161129,1
